I,Ip,theta,theta_p,theta_pp,u_a
0,254.4529262,0,0,0,1
9.583649845,-12792.23871,1.72E-08,3.07E-02,110096.9013,1
1.941683852,-2391.007672,1.98E-08,2.74E-01,22062.819,1
9.830787069,-13128.62023,9.18E-08,2.43E-02,112942.6237,1
7.99038293,-10628.98245,1.01E-06,7.39E-01,91144.94676,1
28.07413914,-37970.94908,2.20E-06,9.24E-01,321757.7525,1
40.433565,-54792.44519,4.16E-07,4.66E-01,464194.4586,1
64.7447232,-87908.24767,9.86E-06,3.010892822,741238.5531,1
34.02171801,-46082.02732,1.23E-05,2.727088271,388461.2977,1
88.74745257,-120586.3835,2.51E-06,3.342274422,1016750.478,1
66.24832381,-89950.91209,1.19E-05,2.485827282,758993.6233,1
108.5304679,-147527.2618,7.46E-06,4.561259533,1242967.141,1
12.93527476,-17384.07239,3.76E-05,3.660902971,145309.9727,1
98.34850451,-133677.7648,4.14E-05,5.984704708,1124673.084,1
7.762917169,-10315.0496,7.68E-05,0.20690065,89014.88397,1
27.86735247,-37704.90755,2.43E-05,2.846549878,317633.4412,1
29.10851178,-39497.16353,8.53E-05,15.611223,320291.2417,1
53.97641018,-73286.09299,3.33E-05,7.612374001,613317.6824,1
71.96948584,-97786.90666,9.10E-05,8.411200606,819348.2731,1
173.8107533,-236409.4927,4.87E-05,6.38532478,1991438.724,1
23.66996292,-32127.22423,1.97E-04,19.80030362,253989.1161,1
23.99938778,-32650.54701,2.65E-04,29.11155509,249309.7331,1
100.9474609,-137201.8511,9.24E-05,4.251878406,1156112.752,1
232.0480189,-315713.0146,1.41E-05,9.343237911,2657948.837,1
63.13198823,-85879.34085,1.38E-04,23.72381341,703876.8344,1
165.1919403,-224654.7369,5.57E-05,3.678331381,1894861.631,1
1.860749657,-2574.297235,2.74E-04,36.77143884,-12046.87561,1
164.7023762,-224293.0363,5.34E-04,41.57974055,1854780.268,1
185.9547176,-253048.6491,6.29E-04,19.72948763,2118852.857,1
0.83156426,-1204.048551,5.81E-04,40.60259544,-27356.02109,1
