I,Ip,theta,theta_p,theta_pp,u_a
0.172762083,12.09748271,3.47E-04,0.891764214,1174.498649,1
0.149140165,45.16774738,3.48E-04,0.77819203,1006.308782,1
0.16958867,16.37143948,3.73E-04,0.897495448,1132.823042,1
0.174454856,9.452465912,3.62E-04,0.934124348,1155.440938,1
0.162587657,26.05218042,3.87E-04,0.87882812,1069.345326,1
0.188179748,-9.680275486,3.78E-04,0.989931419,1262.418719,1
0.171727793,13.20135855,4.45E-04,0.929587562,1128.228859,1
0.160467471,27.89987644,4.34E-04,1.007990927,927.561738,1
0.180175566,0.853822653,4.28E-04,1.034974637,1129.495017,1
0.147747319,45.91827767,5.23E-04,0.920664921,860.7829027,1
0.191146597,-13.80628305,4.23E-04,1.000772077,1286.655374,1
0.185325247,-6.169192521,5.00E-04,1.036545972,1187.241051,1
0.163686881,23.05127451,4.89E-04,1.065939156,911.8754735,1
0.193199997,-17.70156458,5.72E-04,1.137568455,1185.890465,1
0.155418799,33.76486835,4.94E-04,1.133338402,755.5956501,1
0.1530022,38.70649946,5.25E-04,0.927901415,914.5876354,1
0.178192193,3.709135279,4.79E-04,1.015660337,1124.26271,1
0.152062251,38.48795602,5.74E-04,1.11421799,734.4080598,1
0.163222114,23.42672701,5.76E-04,1.097932139,877.4503411,1
0.168244324,17.00736933,5.25E-04,1.046009603,982.3624152,1
0.165271958,19.56314245,5.98E-04,1.231388527,779.6809233,1
0.181755504,-1.835178912,6.61E-04,1.101908409,1086.801058,1
0.167062539,18.0624855,5.53E-04,1.114868656,906.1834853,1
0.192136103,-15.9149536,6.16E-04,1.095494262,1211.914613,1
0.153592375,34.93147721,7.01E-04,1.297471198,585.3967438,1
0.165316227,19.95966892,7.25E-04,1.174578747,831.8348711,1
0.19912516,-26.30262596,6.90E-04,1.204104855,1193.488335,1
0.179399202,1.826552428,6.64E-04,1.045440511,1111.059453,1
0.184693724,-7.724933576,7.36E-04,1.336948311,906.8912345,1
0.16962452,12.28175142,7.36E-04,1.400048558,676.3685232,1
0.171166698,10.82595873,6.76E-04,1.320004688,766.8567039,1
0.172247412,11.07765955,6.83E-04,1.105732323,974.0681543,1
0.17220763,9.709057653,8.25E-04,1.282676717,812.7524753,1
0.173190933,9.016751757,8.91E-04,1.202299839,897.1214115,1
0.193105241,-18.60390045,7.61E-04,1.265831888,1068.198511,1
0.16458365,19.83528619,7.45E-04,1.314075939,696.6012664,1
0.192916249,-19.87548923,9.20E-04,1.455972797,893.1714464,1
0.188700828,-12.07905349,8.81E-04,1.200039637,1077.39893,1
0.172867861,8.303393183,8.99E-04,1.345715483,763.0311621,1
0.169915337,11.50933724,1.01E-03,1.44687499,637.1407952,1
0.160121077,25.94759606,9.37E-04,1.309436219,649.5401788,1
0.202513937,-33.6958129,8.71E-04,1.549841254,918.1226407,1
0.161167443,24.86221949,8.67E-04,1.267267553,699.8990295,1
0.18798626,-14.18123285,9.30E-04,1.582460629,721.5324483,1
0.196353601,-23.71237913,8.83E-04,1.351198946,1027.918697,1
0.189973928,-15.37906567,1.10E-03,1.394911734,914.8715657,1
0.20218261,-31.73198315,8.70E-04,1.361700257,1085.352671,1
0.180036365,-2.762412508,9.87E-04,1.508282626,697.6154743,1
0.192582935,-18.44583049,9.10E-04,1.334601591,999.678828,1
0.17370613,6.445765537,1.21E-03,1.434821122,691.6585066,1
0.168113783,14.76519563,1.22E-03,1.346963389,707.2680232,1
0.195299535,-21.85194465,9.89E-04,1.29827936,1063.915244,1
0.204607412,-35.73408053,9.70E-04,1.448901312,1033.942162,1
0.194671395,-22.96616274,1.12E-03,1.543197951,834.0440769,1
0.207957367,-42.08736557,1.10E-03,1.671880781,869.7275807,1
0.203728076,-34.95384005,1.33E-03,1.500739989,976.7117219,1
0.204886069,-37.04395859,1.32E-03,1.564629357,931.936869,1
0.214888815,-51.95327816,1.05E-03,1.725355216,900.7630919,1
0.204552427,-37.22744166,1.39E-03,1.643935465,856.0065577,1
0.175537237,2.655185689,1.10E-03,1.596231167,565.9631838,1
0.17098341,7.768731078,1.36E-03,1.731254597,390.887001,1
0.176079009,1.45771199,1.30E-03,1.653433414,520.1865947,1
0.217096165,-55.19008298,1.35E-03,1.754194422,899.9100931,1
0.202192512,-33.88809854,1.19E-03,1.628173615,843.2179459,1
0.190447026,-16.34855152,1.40E-03,1.435386703,883.5124565,1
0.183297213,-6.92996531,1.33E-03,1.474514982,765.7834471,1
0.212098682,-48.0548456,1.32E-03,1.71289849,880.0262321,1
0.172722019,5.616558905,1.56E-03,1.704560748,435.1323432,1
0.191183585,-20.76748087,1.50E-03,1.860253736,505.7334395,1
0.176782295,1.426428034,1.61E-03,1.538255024,632.9756241,1
0.204235881,-36.51257237,1.64E-03,1.608621763,884.4725175,1
0.206713091,-41.98889003,1.32E-03,1.870294406,675.05369,1
0.185376122,-10.18994521,1.34E-03,1.527982066,741.0655574,1
0.196305771,-27.44663031,1.33E-03,1.823714554,597.8094523,1
0.191459773,-20.16848202,1.41E-03,1.738998411,619.139198,1
0.176636088,1.655184506,1.69E-03,1.534558616,634.6559462,1
0.205151762,-38.02388328,1.74E-03,1.641516962,865.0920967,1
0.191053243,-20.69673513,1.60E-03,1.873522821,492.1728774,1
0.204568243,-38.61194564,1.43E-03,1.813444481,702.0891934,1
0.184986246,-13.07511102,1.47E-03,1.952809115,350.3791273,1
0.218918753,-55.88640284,1.82E-03,1.53222269,1122.645765,1
0.22079674,-60.36813848,1.54E-03,1.771652751,926.5618538,1
0.17002869,6.912799044,1.85E-03,1.999342084,136.2005036,1
0.177511665,-1.381815608,1.73E-03,1.764023005,436.1131288,1
0.180977887,-5.429573288,1.64E-03,1.680586339,551.7946831,1
0.21970771,-58.71364876,2.00E-03,1.750265458,933.4909114,1
0.222922169,-64.08824133,2.03E-03,1.874467938,857.516611,1
0.223981471,-65.66503083,1.86E-03,1.891224735,854.455507,1
0.218213716,-57.09364657,1.86E-03,1.801729507,869.5380537,1
0.187418646,-16.36718943,1.92E-03,1.950420867,380.5007422,1
0.171703672,6.21943739,1.63E-03,1.801992551,334.8562418,1
0.205741359,-38.5838224,2.12E-03,1.611333919,899.3062341,1
0.17909623,-3.796696472,2.04E-03,1.796081904,425.1767631,1
0.219431809,-57.86934606,1.82E-03,1.691973205,983.3135066,1
0.183182436,-10.24966357,1.93E-03,1.90680845,371.4704881,1
0.188436743,-18.30031357,1.81E-03,2.018470129,330.3366409,1
0.184515103,-10.93957218,1.86E-03,1.766984701,513.896549,1
0.196548036,-26.13136198,2.05E-03,1.61912223,786.5863088,1
0.21872385,-57.16098324,2.19E-03,1.72373621,946.302963,1
0.195015637,-24.35970369,2.17E-03,1.658227183,733.4276956,1
0.183172383,-11.22208899,2.24E-03,2.029448149,259.8643366,1
