I,Ip,theta,theta_p,theta_pp,u_a
0.13937927,58.75533112,3.09E-04,0.740900513,928.0485952,1
0.140095382,57.68879005,3.18E-04,0.752302501,925.9119395,1
0.140798487,56.64017449,3.27E-04,0.763677435,923.6504046,1
0.141488803,55.60919883,3.37E-04,0.775023805,921.2678783,1
0.142166545,54.59558186,3.46E-04,0.786340144,918.7681655,1
0.142831924,53.59904664,3.56E-04,0.797625036,916.1549894,1
0.14348515,52.61932047,3.66E-04,0.808877107,913.4319933,1
0.144126428,51.65613485,3.76E-04,0.820095028,910.6027419,1
0.144755958,50.70922537,3.86E-04,0.831277513,907.6707229,1
0.14537394,49.77833167,3.97E-04,0.84242332,904.6393482,1
0.145980569,48.8631974,4.07E-04,0.853531247,901.5119556,1
0.146576038,47.96357013,4.18E-04,0.864600134,898.2918099,1
0.147160536,47.0792013,4.28E-04,0.875628859,894.9821044,1
0.147734248,46.20984619,4.39E-04,0.886616339,891.5859625,1
0.148297359,45.35526381,4.50E-04,0.897561531,888.1064382,1
0.148850047,44.5152169,4.61E-04,0.908463428,884.5465185,1
0.149392492,43.68947184,4.72E-04,0.919321058,880.9091237,1
0.149924866,42.8777986,4.84E-04,0.930133487,877.1971093,1
0.150447342,42.07997071,4.95E-04,0.940899813,873.4132668,1
0.150960089,41.29576518,5.07E-04,0.95161917,869.560325,1
0.151463273,40.52496246,5.19E-04,0.962290724,865.6409516,1
0.151957057,39.76734637,5.31E-04,0.972913675,861.6577537,1
0.152441603,39.02270409,5.43E-04,0.983487254,857.6132794,1
0.152917068,38.29082609,5.55E-04,0.994010721,853.5100188,1
0.153383609,37.57150605,5.67E-04,1.004483369,849.3504049,1
0.153841378,36.86454086,5.79E-04,1.01490452,845.1368151,1
0.154290526,36.16973055,5.92E-04,1.025273523,840.871572,1
0.154731202,35.48687825,6.05E-04,1.035589758,836.5569444,1
0.155163552,34.81579012,6.17E-04,1.04585263,832.1951484,1
0.155587718,34.15627535,6.30E-04,1.056061574,827.7883486,1
0.156003843,33.50814607,6.43E-04,1.066216048,823.3386588,1
0.156412064,32.87121732,6.57E-04,1.076315538,818.848143,1
0.15681252,32.24530704,6.70E-04,1.086359553,814.3188166,1
0.157205343,31.63023597,6.83E-04,1.096347629,809.7526472,1
0.157590667,31.02582764,6.97E-04,1.106279325,805.1515555,1
0.157968622,30.43190834,7.11E-04,1.116154222,800.5174161,1
0.158339335,29.84830705,7.24E-04,1.125971926,795.8520587,1
0.158702932,29.2748554,7.38E-04,1.135732062,791.1572688,1
0.159059537,28.71138767,7.52E-04,1.145434281,786.4347885,1
0.159409272,28.15774071,7.66E-04,1.155078251,781.6863174,1
0.159752257,27.61375391,7.81E-04,1.164663665,776.9135135,1
0.16008861,27.07926918,7.95E-04,1.174190231,772.117994,1
0.160418445,26.55413088,8.10E-04,1.183657681,767.3013359,1
0.160741879,26.03818581,8.24E-04,1.193065763,762.4650772,1
0.161059022,25.53128317,8.39E-04,1.202414247,757.6107173,1
0.161369985,25.03327452,8.54E-04,1.211702919,752.7397179,1
0.161674876,24.54401372,8.69E-04,1.220931582,747.8535038,1
0.161973803,24.06335696,8.84E-04,1.230100058,742.9534636,1
0.16226687,23.59116265,8.99E-04,1.239208186,738.0409502,1
0.16255418,23.12729143,9.14E-04,1.24825582,733.1172819,1
0.162835834,22.67160612,9.30E-04,1.257242831,728.1837429,1
0.163111934,22.22397171,9.45E-04,1.266169105,723.2415841,1
0.163382577,21.7842553,9.61E-04,1.275034543,718.2920233,1
0.163647859,21.35232608,9.77E-04,1.283839063,713.3362466,1
0.163907875,20.9280553,9.92E-04,1.292582594,708.3754084,1
0.16416272,20.51131622,1.01E-03,1.301265082,703.4106326,1
0.164412484,20.10198412,1.02E-03,1.309886484,698.4430127,1
0.164657258,19.69993624,1.04E-03,1.318446773,693.4736126,1
0.164897132,19.30505173,1.06E-03,1.326945932,688.5034676,1
0.165132192,18.91721169,1.07E-03,1.335383959,683.5335842,1
0.165362524,18.53629906,1.09E-03,1.343760863,678.5649414,1
0.165588212,18.16219864,1.11E-03,1.352076666,673.5984909,1
0.165809341,17.79479707,1.12E-03,1.360331399,668.6351579,1
0.166025991,17.43398275,1.14E-03,1.368525107,663.6758413,1
0.166238244,17.07964586,1.16E-03,1.376657845,658.7214145,1
0.166446177,16.73167834,1.17E-03,1.384729677,653.772726,1
0.166649869,16.38997381,1.19E-03,1.392740681,648.8305996,1
0.166849395,16.05442759,1.21E-03,1.40069094,643.8958353,1
0.167044832,15.72493667,1.23E-03,1.408580551,638.9692095,1
0.167236253,15.40139966,1.24E-03,1.416409619,634.0514755,1
0.167423731,15.08371679,1.26E-03,1.424178257,629.1433644,1
0.167607336,14.77178987,1.28E-03,1.431886588,624.245585,1
0.16778714,14.46552229,1.30E-03,1.439534744,619.3588245,1
0.167963211,14.16481895,1.31E-03,1.447122863,614.4837493,1
0.168135617,13.86958628,1.33E-03,1.454651095,609.6210047,1
0.168304425,13.57973221,1.35E-03,1.462119593,604.7712161,1
0.1684697,13.29516612,1.37E-03,1.469528522,599.934989,1
0.168631507,13.01579884,1.38E-03,1.476878052,595.1129096,1
0.16878991,12.74154264,1.40E-03,1.48416836,590.305545,1
0.16894497,12.47231117,1.42E-03,1.491399631,585.5134438,1
0.169096749,12.20801948,1.44E-03,1.498572055,580.7371366,1
0.169245307,11.94858397,1.46E-03,1.505685831,575.9771362,1
0.169390704,11.69392238,1.48E-03,1.512741162,571.233938,1
0.169532997,11.44395376,1.50E-03,1.519738257,566.5080203,1
0.169672244,11.19859848,1.51E-03,1.526677332,561.799845,1
0.169808501,10.95777816,1.53E-03,1.533558608,557.1098578,1
0.169941823,10.72141571,1.55E-03,1.540382311,552.4384883,1
0.170072266,10.48943524,1.57E-03,1.547148673,547.7861507,1
0.170199881,10.26176212,1.59E-03,1.55385793,543.1532439,1
0.170324722,10.03832289,1.61E-03,1.560510324,538.5401522,1
0.170446841,9.819045285,1.63E-03,1.5671061,533.9472452,1
0.170566288,9.603858213,1.65E-03,1.57364551,529.3748784,1
0.170683112,9.392691715,1.67E-03,1.580128808,524.8233932,1
0.170797364,9.185476966,1.69E-03,1.586556253,520.2931179,1
0.170909091,8.982146253,1.71E-03,1.592928107,515.7843671,1
0.171018341,8.782632955,1.73E-03,1.599244637,511.2974428,1
0.171125159,8.586871529,1.75E-03,1.605506115,506.8326341,1
0.171229593,8.394797494,1.77E-03,1.611712812,502.390218,1
0.171331686,8.206347411,1.79E-03,1.617865007,497.9704591,1
0.171431483,8.02145887,1.81E-03,1.623962979,493.5736105,1
0.171529028,7.840070475,1.83E-03,1.630007013,489.1999138,1
0.171624363,7.662121822,1.85E-03,1.635997393,484.8495991,1
0.17171753,7.487553492,1.87E-03,1.64193441,480.5228857,1
0.171808571,7.31630703,1.89E-03,1.647818354,476.2199821,1
0.171897525,7.14832493,1.91E-03,1.65364952,471.9410865,1
0.171984433,6.983550626,1.93E-03,1.659428204,467.6863867,1
0.172069333,6.821928471,1.95E-03,1.665154705,463.4560606,1
0.172152265,6.663403723,1.97E-03,1.670829323,459.2502763,1
0.172233265,6.507922537,1.99E-03,1.676452363,455.0691925,1
0.172312372,6.355431944,2.01E-03,1.682024127,450.9129585,1
0.172389621,6.205879843,2.03E-03,1.687544924,446.7817147,1
0.172465048,6.059214981,2.05E-03,1.693015061,442.6755926,1
0.172538689,5.915386948,2.07E-03,1.698434847,438.5947152,1
0.172610578,5.774346155,2.09E-03,1.703804594,434.5391968,1
0.17268075,5.636043829,2.11E-03,1.709124616,430.5091438,1
0.172749236,5.500431996,2.13E-03,1.714395224,426.5046547,1
0.172816071,5.367463469,2.15E-03,1.719616735,422.5258199,1
0.172881286,5.237091835,2.18E-03,1.724789465,418.5727224,1
0.172944914,5.109271445,2.20E-03,1.72991373,414.6454378,1
0.173006985,4.983957402,2.22E-03,1.734989849,410.7440345,1
0.173067529,4.861105545,2.24E-03,1.74001814,406.8685738,1
0.173126578,4.740672445,2.26E-03,1.744998922,403.0191103,1
0.17318416,4.622615386,2.28E-03,1.749932517,399.1956919,1
0.173240304,4.506892356,2.30E-03,1.754819243,395.3983599,1
0.173295039,4.39346204,2.33E-03,1.759659423,391.6271493,1
0.173348392,4.282283805,2.35E-03,1.764453378,387.8820892,1
0.173400392,4.173317688,2.37E-03,1.76920143,384.1632024,1
0.173451065,4.06652439,2.39E-03,1.773903901,380.4705061,1
0.173500437,3.961865262,2.41E-03,1.778561112,376.8040116,1
0.173548535,3.859302296,2.44E-03,1.783173387,373.1637249,1
0.173595384,3.758798116,2.46E-03,1.787741047,369.5496466,1
0.17364101,3.660315965,2.48E-03,1.792264415,365.961772,1
0.173685436,3.563819698,2.50E-03,1.796743814,362.4000913,1
0.173728688,3.469273772,2.52E-03,1.801179565,358.86459,1
0.173770788,3.376643235,2.55E-03,1.80557199,355.3552486,1
0.173811761,3.285893717,2.57E-03,1.809921411,351.8720429,1
0.173851629,3.196991422,2.59E-03,1.81422815,348.4149444,1
0.173890414,3.109903119,2.61E-03,1.818492526,344.9839199,1
0.17392814,3.02459613,2.63E-03,1.822714861,341.5789324,1
0.173964827,2.941038327,2.66E-03,1.826895474,338.1999403,1
0.174000496,2.859198116,2.68E-03,1.831034686,334.8468981,1
0.17403517,2.779044434,2.70E-03,1.835132814,331.5197566,1
0.174068868,2.70054674,2.72E-03,1.839190178,328.2184627,1
0.17410161,2.623675003,2.75E-03,1.843207094,324.9429595,1
0.174133417,2.548399697,2.77E-03,1.84718388,321.6931867,1
0.174164307,2.474691795,2.79E-03,1.851120852,318.4690806,1
0.1741943,2.402522755,2.82E-03,1.855018324,315.270574,1
0.174223415,2.331864518,2.84E-03,1.858876612,312.0975965,1
0.17425167,2.262689496,2.86E-03,1.862696029,308.9500748,1
0.174279083,2.194970568,2.88E-03,1.866476888,305.8279322,1
0.174305672,2.128681071,2.91E-03,1.8702195,302.7310895,1
0.174331455,2.063794791,2.93E-03,1.873924176,299.6594642,1
0.174356447,2.00028596,2.95E-03,1.877591226,296.6129714,1
0.174380667,1.938129245,2.98E-03,1.881220958,293.5915235,1
0.174404131,1.877299741,3.00E-03,1.88481368,290.5950302,1
0.174426854,1.817772968,3.02E-03,1.888369698,287.6233989,1
0.174448853,1.75952486,3.05E-03,1.891889317,284.6765345,1
0.174470144,1.702531761,3.07E-03,1.895372842,281.7543396,1
0.174490741,1.646770418,3.09E-03,1.898820575,278.8567148,1
0.174510659,1.592217971,3.12E-03,1.902232817,275.9835583,1
0.174529914,1.538851953,3.14E-03,1.90560987,273.1347663,1
0.17454852,1.486650279,3.16E-03,1.908952032,270.3102332,1
0.17456649,1.435591241,3.19E-03,1.912259601,267.5098513,1
0.17458384,1.385653502,3.21E-03,1.915532873,264.7335111,1
0.174600582,1.336816092,3.23E-03,1.918772143,261.9811014,1
0.17461673,1.289058397,3.26E-03,1.921977706,259.2525094,1
0.174632297,1.242360159,3.28E-03,1.925149852,256.5476205,1
0.174647296,1.196701466,3.30E-03,1.928288874,253.8663186,1
0.17466174,1.15206275,3.33E-03,1.93139506,251.2084863,1
0.174675641,1.108424778,3.35E-03,1.934468698,248.5740044,1
0.174689011,1.065768649,3.38E-03,1.937510076,245.9627528,1
0.174701863,1.024075786,3.40E-03,1.940519477,243.3746097,1
0.174714208,0.983327934,3.42E-03,1.943497185,240.8094524,1
0.174726057,0.943507154,3.45E-03,1.946443483,238.2671567,1
0.174737422,0.904595815,3.47E-03,1.949358651,235.7475976,1
0.174748313,0.866576593,3.50E-03,1.952242967,233.2506488,1
0.174758743,0.829432462,3.52E-03,1.955096709,230.776183,1
0.174768721,0.793146694,3.54E-03,1.957920152,228.3240722,1
0.174778258,0.757702848,3.57E-03,1.960713572,225.8941872,1
0.174787364,0.723084772,3.59E-03,1.96347724,223.486398,1
0.174796049,0.689276593,3.62E-03,1.966211427,221.1005739,1
0.174804323,0.656262714,3.64E-03,1.968916404,218.7365834,1
0.174812196,0.624027813,3.66E-03,1.971592436,216.3942942,1
0.174819677,0.592556831,3.69E-03,1.974239792,214.0735736,1
0.174826776,0.561834977,3.71E-03,1.976858734,211.7742879,1
0.174833502,0.531847713,3.74E-03,1.979449527,209.4963031,1
0.174839863,0.502580761,3.76E-03,1.98201243,207.2394846,1
0.174845868,0.474020091,3.79E-03,1.984547704,205.0036972,1
0.174851526,0.446151918,3.81E-03,1.987055607,202.7888055,1
0.174856846,0.418962701,3.84E-03,1.989536394,200.5946733,1
0.174861836,0.392439137,3.86E-03,1.99199032,198.4211645,1
0.174866503,0.366568156,3.88E-03,1.994417638,196.2681422,1
0.174870856,0.341336921,3.91E-03,1.9968186,194.1354696,1
0.174874902,0.316732819,3.93E-03,1.999193454,192.0230093,1
0.17487865,0.292743461,3.96E-03,2.001542448,189.9306238,1
0.174882106,0.269356677,3.98E-03,2.003865829,187.8581756,1
0.174885278,0.246560514,4.01E-03,2.006163841,185.8055267,1
0.174888174,0.224343227,4.03E-03,2.008436726,183.7725392,1
0.1748908,0.202693285,4.06E-03,2.010684725,181.7590749,1
0.174893162,0.181599358,4.08E-03,2.012908078,179.7649959,1
0.174895269,0.16105032,4.11E-03,2.015107023,177.7901637,1
0.174897127,0.141035241,4.13E-03,2.017281795,175.8344403,1
0.174898741,0.121543388,4.16E-03,2.019432628,173.8976875,1
0.174900119,0.102564219,4.18E-03,2.021559755,171.9797671,1
0.174901266,0.08408738,4.21E-03,2.023663407,170.080541,1
0.174902189,0.066102705,4.23E-03,2.025743812,168.1998713,1
0.174902894,0.048600207,4.26E-03,2.027801199,166.33762,1
0.174903387,0.03157008,4.28E-03,2.029835793,164.4936495,1
0.174903673,0.015002695,4.31E-03,2.031847817,162.6678221,1
0.174903758,-0.001111405,4.33E-03,2.033837495,160.8600006,1
0.174903647,-0.016781507,4.36E-03,2.035805047,159.0700477,1
0.174903347,-0.032016727,4.38E-03,2.037750691,157.2978265,1
0.174902861,-0.046826021,4.41E-03,2.039674645,155.5432004,1
0.174902196,-0.061218178,4.43E-03,2.041577125,153.8060329,1
0.174901357,-0.075201832,4.46E-03,2.043458345,152.086188,1
0.174900348,-0.088785457,4.48E-03,2.045318516,150.3835297,1
0.174899174,-0.101977376,4.51E-03,2.047157849,148.6979228,1
0.174897841,-0.114785757,4.53E-03,2.048976554,147.0292319,1
0.174896352,-0.127218623,4.56E-03,2.050774837,145.3773224,1
0.174894713,-0.139283847,4.58E-03,2.052552905,143.7420599,1
0.174892927,-0.150989161,4.61E-03,2.05431096,142.1233104,1
0.174891,-0.162342153,4.63E-03,2.056049205,140.5209403,1
0.174888935,-0.173350275,4.66E-03,2.057767841,138.9348166,1
0.174886737,-0.184020838,4.68E-03,2.059467068,137.3648064,1
0.17488441,-0.194361023,4.71E-03,2.061147081,135.8107777,1
0.174881957,-0.204377876,4.73E-03,2.062808078,134.2725985,1
0.174879383,-0.214078313,4.76E-03,2.064450252,132.7501376,1
0.174876692,-0.223469125,4.78E-03,2.066073795,131.2432643,1
0.174873887,-0.232556975,4.81E-03,2.067678899,129.7518482,1
0.174870972,-0.241348403,4.83E-03,2.069265753,128.2757596,1
0.174867951,-0.249849828,4.86E-03,2.070834545,126.8148693,1
0.174864827,-0.25806755,4.89E-03,2.072385461,125.3690485,1
0.174861604,-0.266007751,4.91E-03,2.073918685,123.9381693,1
0.174858284,-0.273676498,4.94E-03,2.075434401,122.5221039,1
0.174854872,-0.281079747,4.96E-03,2.076932789,121.1207254,1
0.174851371,-0.288223339,4.99E-03,2.07841403,119.7339074,1
0.174847783,-0.295113008,5.01E-03,2.079878302,118.361524,1
0.174844112,-0.30175438,5.04E-03,2.081325782,117.0034502,1
0.174840361,-0.308152975,5.06E-03,2.082756645,115.6595612,1
0.174836533,-0.31431421,5.09E-03,2.084171065,114.329733,1
0.17483263,-0.320243399,5.12E-03,2.085569214,113.0138424,1
0.174828656,-0.325945755,5.14E-03,2.086951262,111.7117665,1
0.174824612,-0.331426395,5.17E-03,2.08831738,110.4233833,1
0.174820503,-0.336690336,5.19E-03,2.089667733,109.1485713,1
0.174816331,-0.341742503,5.22E-03,2.09100249,107.8872098,1
0.174812097,-0.346587725,5.24E-03,2.092321813,106.6391785,1
0.174807805,-0.351230739,5.27E-03,2.093625868,105.4043581,1
0.174803458,-0.355676194,5.30E-03,2.094914814,104.1826297,1
0.174799057,-0.359928648,5.32E-03,2.096188813,102.9738751,1
0.174794604,-0.363992572,5.35E-03,2.097448024,101.777977,1
0.174790103,-0.367872351,5.37E-03,2.098692604,100.5948186,1
0.174785555,-0.371572289,5.40E-03,2.099922708,99.42428369,1
0.174780963,-0.375096602,5.43E-03,2.101138493,98.26625699,1
0.174776329,-0.378449429,5.45E-03,2.102340109,97.12062379,1
0.174771654,-0.381634827,5.48E-03,2.10352771,95.98727009,1
0.174766941,-0.384656774,5.50E-03,2.104701446,94.8660826,1
0.174762192,-0.387519173,5.53E-03,2.105861465,93.75694873,1
0.174757409,-0.390225849,5.55E-03,2.107007916,92.6597566,1
0.174752593,-0.392780555,5.58E-03,2.108140944,91.57439506,1
0.174747747,-0.395186967,5.61E-03,2.109260694,90.50075366,1
0.174742872,-0.397448694,5.63E-03,2.11036731,89.43872265,1
0.17473797,-0.39956927,5.66E-03,2.111460934,88.38819302,1
0.174733043,-0.401552162,5.68E-03,2.112541706,87.34905647,1
0.174728093,-0.403400769,5.71E-03,2.113609767,86.32120544,1
0.17472312,-0.405118421,5.74E-03,2.114665254,85.30453306,1
0.174718127,-0.406708385,5.76E-03,2.115708304,84.29893322,1
0.174713116,-0.408173861,5.79E-03,2.116739052,83.30430052,1
0.174708087,-0.409517988,5.81E-03,2.117757634,82.32053027,1
0.174703042,-0.410743839,5.84E-03,2.118764182,81.34751853,1
0.174697983,-0.41185443,5.87E-03,2.119758827,80.38516208,1
0.174692911,-0.412852714,5.89E-03,2.1207417,79.43335844,1
0.174687827,-0.413741586,5.92E-03,2.12171293,78.49200584,1
0.174682733,-0.414523883,5.94E-03,2.122672646,77.56100324,1
0.17467763,-0.415202385,5.97E-03,2.123620973,76.64025035,1
0.17467252,-0.415779815,6.00E-03,2.124558037,75.72964758,1
0.174667403,-0.416258842,6.02E-03,2.125483963,74.82909609,1
0.17466228,-0.416642082,6.05E-03,2.126398874,73.93849776,1
0.174657154,-0.416932096,6.08E-03,2.127302891,73.0577552,1
0.174652024,-0.417131394,6.10E-03,2.128196135,72.18677174,1
0.174646893,-0.417242436,6.13E-03,2.129078725,71.32545144,1
0.17464176,-0.417267628,6.15E-03,2.12995078,70.47369909,1
0.174636628,-0.417209331,6.18E-03,2.130812417,69.63142019,1
0.174631497,-0.417069856,6.21E-03,2.131663751,68.79852098,1
0.174626368,-0.416851466,6.23E-03,2.132504899,67.9749084,1
0.174621243,-0.416556377,6.26E-03,2.133335972,67.16049013,1
0.174616122,-0.416186761,6.29E-03,2.134157084,66.35517456,1
0.174611005,-0.415744742,6.31E-03,2.134968346,65.5588708,1
0.174605894,-0.415232404,6.34E-03,2.135769869,64.77148866,1
0.174600791,-0.414651783,6.36E-03,2.136561761,63.99293869,1
0.174595694,-0.414004876,6.39E-03,2.137344131,63.22313213,1
0.174590606,-0.413293636,6.42E-03,2.138117086,62.46198093,1
0.174585528,-0.412519977,6.44E-03,2.138880731,61.70939776,1
0.174580459,-0.411685771,6.47E-03,2.139635171,60.96529599,1
0.1745754,-0.410792851,6.50E-03,2.140380511,60.22958969,1
0.174570353,-0.409843011,6.52E-03,2.141116853,59.50219363,1
0.174565318,-0.408838007,6.55E-03,2.141844299,58.78302328,1
0.174560296,-0.407779558,6.57E-03,2.142562949,58.0719948,1
0.174555287,-0.406669345,6.60E-03,2.143272903,57.36902506,1
0.174550292,-0.405509015,6.63E-03,2.14397426,56.67403161,1
0.174545312,-0.404300177,6.65E-03,2.144667117,55.98693267,1
0.174540347,-0.403044408,6.68E-03,2.145351571,55.30764719,1
0.174535397,-0.40174325,6.71E-03,2.146027717,54.63609475,1
0.174530464,-0.40039821,6.73E-03,2.14669565,53.97219565,1
0.174525548,-0.399010763,6.76E-03,2.147355464,53.31587085,1
0.174520649,-0.397582354,6.79E-03,2.148007251,52.66704198,1
0.174515767,-0.396114394,6.81E-03,2.148651103,52.02563135,1
0.174510904,-0.394608262,6.84E-03,2.149287112,51.39156194,1
0.17450606,-0.39306531,6.86E-03,2.149915366,50.76475738,1
0.174501235,-0.391486857,6.89E-03,2.150535954,50.14514197,1
0.17449643,-0.389874194,6.92E-03,2.151148965,49.53264067,1
0.174491644,-0.388228583,6.94E-03,2.151754486,48.9271791,1
0.174486879,-0.386551259,6.97E-03,2.152352602,48.32868352,1
0.174482135,-0.384843427,7.00E-03,2.1529434,47.73708084,1
0.174477412,-0.383106267,7.02E-03,2.153526963,47.15229862,1
0.174472711,-0.38134093,7.05E-03,2.154103374,46.57426506,1
0.174468031,-0.379548544,7.08E-03,2.154672717,46.00290901,1
0.174463374,-0.377730208,7.10E-03,2.155235073,45.43815993,1
0.174458739,-0.375886999,7.13E-03,2.155790522,44.87994793,1
0.174454127,-0.374019966,7.16E-03,2.156339146,44.32820374,1
0.174449539,-0.372130137,7.18E-03,2.156881022,43.78285872,1
0.174444973,-0.370218514,7.21E-03,2.15741623,43.24384484,1
0.174440431,-0.368286077,7.24E-03,2.157944847,42.71109471,1
