I,Ip,theta,theta_p,theta_pp,u_a
0.028015606,216.1616769,7.74E-07,0.019022734,304.6313856,1
0.02828126,215.797009,7.97E-07,0.019399098,307.3418482,1
0.028546467,215.4329244,8.22E-07,0.019778792,310.0441346,1
0.028811226,215.0694223,8.46E-07,0.020161804,312.7382622,1
0.029075538,214.7065018,8.71E-07,0.020548124,315.4242482,1
0.029339404,214.344162,8.97E-07,0.020937744,318.1021099,1
0.029602825,213.9824019,9.23E-07,0.021330652,320.7718647,1
0.029865801,213.6212207,9.49E-07,0.02172684,323.4335299,1
0.030128333,213.2606176,9.76E-07,0.022126296,326.0871225,1
0.030390422,212.9005915,1.00E-06,0.022529011,328.7326598,1
0.030652069,212.5411417,1.03E-06,0.022934975,331.3701589,1
0.030913274,212.1822672,1.06E-06,0.023344178,333.999637,1
0.031174037,211.8239672,1.09E-06,0.02375661,336.6211111,1
0.031434361,211.4662408,1.12E-06,0.024172262,339.2345984,1
0.031694245,211.109087,1.15E-06,0.024591124,341.8401157,1
0.031953689,210.7525051,1.18E-06,0.025013186,344.4376801,1
0.032212696,210.3964941,1.21E-06,0.025438438,347.0273086,1
0.032471265,210.0410532,1.24E-06,0.02586687,349.6090181,1
0.032729397,209.6861815,1.27E-06,0.026298473,352.1828255,1
0.032987093,209.3318781,1.31E-06,0.026733236,354.7487476,1
0.033244354,208.9781421,1.34E-06,0.027171151,357.3068013,1
0.03350118,208.6249727,1.37E-06,0.027612208,359.8570034,1
0.033757572,208.272369,1.41E-06,0.028056396,362.3993706,1
0.03401353,207.9203302,1.44E-06,0.028503707,364.9339197,1
0.034269056,207.5688553,1.48E-06,0.028954131,367.4606675,1
0.03452415,207.2179434,1.51E-06,0.029407657,369.9796305,1
0.034778812,206.8675939,1.55E-06,0.029864277,372.4908255,1
0.035033044,206.5178057,1.59E-06,0.030323981,374.9942691,1
0.035286846,206.168578,1.62E-06,0.03078676,377.4899777,1
0.035540219,205.8199099,1.66E-06,0.031252604,379.9779681,1
0.035793163,205.4718006,1.70E-06,0.031721503,382.4582567,1
0.03604568,205.1242493,1.74E-06,0.032193448,384.93086,1
0.036297769,204.777255,1.78E-06,0.032668429,387.3957945,1
0.036549432,204.4308169,1.82E-06,0.033146438,389.8530766,1
0.036800669,204.0849342,1.86E-06,0.033627465,392.3027227,1
0.037051481,203.739606,1.90E-06,0.0341115,394.7447492,1
0.037301869,203.3948314,1.95E-06,0.034598534,397.1791724,1
0.037551833,203.0506096,1.99E-06,0.035088558,399.6060087,1
0.037801374,202.7069398,2.03E-06,0.035581562,402.0252743,1
0.038050492,202.3638211,2.08E-06,0.036077537,404.4369855,1
0.038299189,202.0212526,2.12E-06,0.036576473,406.8411585,1
0.038547465,201.6792336,2.17E-06,0.037078363,409.2378094,1
0.03879532,201.3377631,2.21E-06,0.037583195,411.6269545,1
0.039042756,200.9968403,2.26E-06,0.038090962,414.0086099,1
0.039289772,200.6564644,2.31E-06,0.038601653,416.3827917,1
0.039536371,200.3166345,2.35E-06,0.039115261,418.7495159,1
0.039782552,199.9773498,2.40E-06,0.039631774,421.1087986,1
0.040028315,199.6386095,2.45E-06,0.040151185,423.4606558,1
0.040273663,199.3004126,2.50E-06,0.040673484,425.8051035,1
0.040518595,198.9627585,2.55E-06,0.041198663,428.1421577,1
0.040763111,198.6256462,2.60E-06,0.041726711,430.4718342,1
0.041007214,198.289075,2.65E-06,0.04225762,432.794149,1
0.041250903,197.9530439,2.71E-06,0.042791382,435.1091178,1
0.041494179,197.6175521,2.76E-06,0.043327986,437.4167567,1
0.041737042,197.2825989,2.81E-06,0.043867424,439.7170813,1
0.041979494,196.9481834,2.87E-06,0.044409687,442.0101074,1
0.042221535,196.6143047,2.92E-06,0.044954766,444.2958508,1
0.042463165,196.2809621,2.98E-06,0.045502652,446.5743272,1
